routine_id,routine_name,day_order,day_name,superset_id,n_miembros,posicion_actual,posicion_esperada,correcta,posiciones_miembros,posiciones_sueltos
1171,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-PRINCIPIANTE-3 DIAS,3,Hombro-Bíceps-Tríceps,1596,2,1,7,NO,7 8,1 2 3 4
1173,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-PRINCIPIANTE-4 DIAS,1,Pecho-Espalda,1597,2,0,5,NO,5 6,1 2 3 4
1173,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-PRINCIPIANTE-4 DIAS,1,Pecho-Espalda,1598,2,1,7,NO,7 8,1 2 3 4
1173,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-PRINCIPIANTE-4 DIAS,2,Pierna,1599,2,0,5,NO,5 6,1 2 3 4
1173,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-PRINCIPIANTE-4 DIAS,2,Pierna,1600,2,1,7,NO,7 8,1 2 3 4
1173,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-PRINCIPIANTE-4 DIAS,3,Hombro-Bíceps-Tríceps,1601,2,0,5,NO,5 6,1 2 3 4
1173,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-PRINCIPIANTE-4 DIAS,3,Hombro-Bíceps-Tríceps,1602,2,1,7,NO,7 8,1 2 3 4
1173,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-PRINCIPIANTE-4 DIAS,4,Fullbody Torso,1603,2,0,5,NO,5 6,1 2 3 4
1173,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-PRINCIPIANTE-4 DIAS,4,Fullbody Torso,1604,2,1,7,NO,7 8,1 2 3 4
1170,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-PRINCIPIANTE-5 DIAS,1,Pecho-Espalda,1580,2,0,5,NO,5 6,1 2 3 4
1170,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-PRINCIPIANTE-5 DIAS,1,Pecho-Espalda,1581,2,1,7,NO,7 8,1 2 3 4
1170,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-PRINCIPIANTE-5 DIAS,2,Hombro-Bíceps-Tríceps,1582,2,0,5,NO,5 6,1 2 3 4
1170,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-PRINCIPIANTE-5 DIAS,2,Hombro-Bíceps-Tríceps,1583,2,1,7,NO,7 8,1 2 3 4
1170,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-PRINCIPIANTE-5 DIAS,3,Pierna,1584,2,0,5,NO,5 6,1 2 3 4
1170,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-PRINCIPIANTE-5 DIAS,3,Pierna,1585,2,1,7,NO,7 8,1 2 3 4
1170,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-PRINCIPIANTE-5 DIAS,4,Fullbody Torso,1586,2,0,5,NO,5 6,1 2 3 4
1170,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-PRINCIPIANTE-5 DIAS,4,Fullbody Torso,1587,2,1,7,NO,7 8,1 2 3 4
1170,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-PRINCIPIANTE-5 DIAS,5,Fullbody Completo,1588,2,0,3,NO,3 4,1 2 9
1170,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-PRINCIPIANTE-5 DIAS,5,Fullbody Completo,1589,2,1,5,NO,5 6,1 2 9
1170,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 4-PRINCIPIANTE-5 DIAS,5,Fullbody Completo,1590,2,2,7,NO,7 8,1 2 9
1153,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 8-AVANZADO-2 DIAS,1,Fullbody,1544,2,0,2,NO,2 3,1 4 5 6 7
1153,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 8-AVANZADO-2 DIAS,2,Fullbody,1545,2,0,2,NO,2 3,1 4 5 6 7
1152,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 8-AVANZADO-3 DIAS,1,Pecho-Espalda,1538,2,0,1,NO,1 2,3 4 5 6
1152,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 8-AVANZADO-3 DIAS,1,Pecho-Espalda,1539,2,1,7,NO,7 8,3 4 5 6
